"location","gender","age_arange","age_total"
마포구,남,from10to14,80
마포구,남,from15to19,157
마포구,남,from20to24,588
마포구,남,from25to29,612
마포구,남,from30to34,588
마포구,남,from35to39,472
마포구,남,from40to44,351
마포구,남,from45to49,342
마포구,남,from50to54,332
마포구,남,from55to59,299
마포구,남,from60to64,163
마포구,남,from65to69,73
마포구,남,from70to74,33
마포구,남,from75to79,13
마포구,남,upto80,10
마포구,여,from0to4,103
마포구,여,from5to9,90
마포구,여,from10to14,67
마포구,여,from15to19,370
마포구,여,from20to24,1851
마포구,여,from25to29,1425
마포구,여,from30to34,710
마포구,여,from35to39,455
마포구,여,from40to44,283
마포구,여,from45to49,316
마포구,여,from50to54,314
마포구,여,from55to59,307
마포구,여,from60to64,138
마포구,여,from65to69,53
마포구,여,from70to74,27
마포구,여,from75to79,18
마포구,여,upto80,32
서대문구,남,from0to4,74
서대문구,남,from5to9,83
서대문구,남,from10to14,80
서대문구,남,from15to19,316
서대문구,남,from20to24,875
서대문구,남,from25to29,627
서대문구,남,from30to34,445
서대문구,남,from35to39,289
서대문구,남,from40to44,221
서대문구,남,from45to49,249
서대문구,남,from50to54,257
서대문구,남,from55to59,235
서대문구,남,from60to64,179
서대문구,남,from65to69,84
서대문구,남,from70to74,46
서대문구,남,from75to79,21
서대문구,남,upto80,25
서대문구,여,from0to4,91
서대문구,여,from5to9,76
서대문구,여,from10to14,79
서대문구,여,from15to19,695
서대문구,여,from20to24,3252
서대문구,여,from25to29,1467
서대문구,여,from30to34,635
서대문구,여,from35to39,405
서대문구,여,from40to44,258
서대문구,여,from45to49,271
서대문구,여,from50to54,274
서대문구,여,from55to59,274
서대문구,여,from60to64,153
서대문구,여,from65to69,73
서대문구,여,from70to74,46
서대문구,여,from75to79,33
서대문구,여,upto80,40
서초구,남,from0to4,92
서초구,남,from5to9,104
서초구,남,from10to14,69
서초구,남,from15to19,55
서초구,남,from20to24,117
서초구,남,from25to29,228
서초구,남,from30to34,393
서초구,남,from35to39,305
서초구,남,from40to44,254
서초구,남,from45to49,186
서초구,남,from50to54,175
서초구,남,from55to59,115
서초구,남,from60to64,48
서초구,남,from65to69,25
서초구,남,from70to74,11
서초구,남,from75to79,5
서초구,남,upto80,4
서초구,여,from0to4,91
서초구,여,from5to9,87
서초구,여,from10to14,62
서초구,여,from15to19,58
서초구,여,from20to24,165
서초구,여,from25to29,256
서초구,여,from30to34,307
서초구,여,from35to39,249
서초구,여,from40to44,216
서초구,여,from45to49,200
서초구,여,from50to54,190
서초구,여,from55to59,122
서초구,여,from60to64,69
서초구,여,from65to69,23
서초구,여,from70to74,7
서초구,여,from75to79,6
서초구,여,upto80,5
성동구,남,from0to4,101
성동구,남,from5to9,66
성동구,남,from10to14,31
성동구,남,from15to19,131
성동구,남,from20to24,655
성동구,남,from25to29,563
성동구,남,from30to34,489
성동구,남,from35to39,338
성동구,남,from40to44,244
성동구,남,from45to49,311
성동구,남,from50to54,319
성동구,남,from55to59,272
성동구,남,from60to64,117
성동구,남,from65to69,46
성동구,남,from70to74,18
성동구,남,from75to79,3
성동구,남,upto80,5
성동구,여,from0to4,112
성동구,여,from5to9,58
성동구,여,from10to14,29
성동구,여,from15to19,180
성동구,여,from20to24,1083
성동구,여,from25to29,607
성동구,여,from30to34,413
성동구,여,from35to39,253
성동구,여,from40to44,219
성동구,여,from45to49,327
성동구,여,from50to54,366
