"location","gender","visa_type","visa_total"
관악구,남,결혼이민(F-6),"410"
관악구,남,기타(G-1),"28"
관악구,남,관광취업(H-1),"24"
관악구,남,방문취업(H-2),"3487"
관악구,남,기타,"17"
관악구,여,문화예술(D-1),"10"
관악구,여,구직(D-10),"127"
관악구,여,유학(D-2),"1057"
관악구,여,기술연수(D-3),"0"
관악구,여,일반연수(D-4),"500"
관악구,여,취재(D-5),"0"
관악구,여,종교(D-6),"3"
관악구,여,주재(D-7),"0"
관악구,여,기업투자(D-8),"6"
관악구,여,무역경영(D-9),"2"
관악구,여,교수(E-1),"28"
관악구,여,선원취업(E-10),"0"
관악구,여,회화(E-2),"76"
관악구,여,연구(E-3),"30"
관악구,여,기술지도(E-4),"0"
관악구,여,전문직업(E-5),"0"
관악구,여,예술흥행(E-6),"7"
관악구,여,특정활동(E-7),"130"
관악구,여,비전문취업(E-9),"15"
관악구,여,방문동거(F-1),"864"
관악구,여,거주(F-2),"533"
관악구,여,동반(F-3),"179"
관악구,여,영주(F-5),"2053"
관악구,여,결혼이민(F-6),"905"
관악구,여,기타(G-1),"21"
관악구,여,관광취업(H-1),"91"
관악구,여,방문취업(H-2),"2642"
관악구,여,기타,"8"
광진구,남,문화예술(D-1),"1"
광진구,남,구직(D-10),"87"
광진구,남,유학(D-2),"1342"
광진구,남,기술연수(D-3),"0"
광진구,남,일반연수(D-4),"305"
광진구,남,취재(D-5),"0"
광진구,남,종교(D-6),"13"
광진구,남,주재(D-7),"5"
광진구,남,기업투자(D-8),"36"
광진구,남,무역경영(D-9),"9"
광진구,남,교수(E-1),"60"
광진구,남,선원취업(E-10),"0"
광진구,남,회화(E-2),"44"
광진구,남,연구(E-3),"43"
광진구,남,기술지도(E-4),"0"
광진구,남,전문직업(E-5),"1"
광진구,남,예술흥행(E-6),"29"
광진구,남,특정활동(E-7),"133"
광진구,남,비전문취업(E-9),"41"
광진구,남,방문동거(F-1),"402"
광진구,남,거주(F-2),"269"
광진구,남,동반(F-3),"215"
광진구,남,영주(F-5),"909"
광진구,남,결혼이민(F-6),"177"
광진구,남,기타(G-1),"38"
광진구,남,관광취업(H-1),"4"
광진구,남,방문취업(H-2),"2062"
광진구,남,기타,"6"
광진구,여,문화예술(D-1),"0"
광진구,여,구직(D-10),"199"
광진구,여,유학(D-2),"2346"
광진구,여,기술연수(D-3),"0"
광진구,여,일반연수(D-4),"685"
광진구,여,취재(D-5),"0"
광진구,여,종교(D-6),"3"
광진구,여,주재(D-7),"1"
광진구,여,기업투자(D-8),"6"
광진구,여,무역경영(D-9),"1"
광진구,여,교수(E-1),"6"
광진구,여,선원취업(E-10),"0"
광진구,여,회화(E-2),"58"
광진구,여,연구(E-3),"10"
광진구,여,기술지도(E-4),"0"
광진구,여,전문직업(E-5),"0"
광진구,여,예술흥행(E-6),"24"
광진구,여,특정활동(E-7),"116"
광진구,여,비전문취업(E-9),"43"
광진구,여,방문동거(F-1),"529"
광진구,여,거주(F-2),"356"
광진구,여,동반(F-3),"233"
광진구,여,영주(F-5),"1170"
광진구,여,결혼이민(F-6),"618"
광진구,여,기타(G-1),"21"
광진구,여,관광취업(H-1),"41"
광진구,여,방문취업(H-2),"1897"
광진구,여,기타,"1"
구로구,남,문화예술(D-1),"0"
구로구,남,구직(D-10),"42"
구로구,남,유학(D-2),"110"
구로구,남,기술연수(D-3),"3"
구로구,남,일반연수(D-4),"132"
구로구,남,취재(D-5),"0"
구로구,남,종교(D-6),"1"
구로구,남,주재(D-7),"5"
구로구,남,기업투자(D-8),"68"
구로구,남,무역경영(D-9),"4"
구로구,남,교수(E-1),"3"
구로구,남,선원취업(E-10),"1"
구로구,남,회화(E-2),"30"
구로구,남,연구(E-3),"7"
구로구,남,기술지도(E-4),"0"
구로구,남,전문직업(E-5),"0"
구로구,남,예술흥행(E-6),"3"
구로구,남,특정활동(E-7),"102"
구로구,남,비전문취업(E-9),"214"
구로구,남,방문동거(F-1),"1476"
구로구,남,거주(F-2),"852"
구로구,남,동반(F-3),"27"
구로구,남,영주(F-5),"3567"
구로구,남,결혼이민(F-6),"760"
구로구,남,기타(G-1),"461"
구로구,남,관광취업(H-1),"6"
구로구,남,방문취업(H-2),"9505"
구로구,남,기타,"4"
구로구,여,문화예술(D-1),"0"
구로구,여,구직(D-10),"47"
구로구,여,유학(D-2),"172"
구로구,여,기술연수(D-3),"5"
구로구,여,일반연수(D-4),"77"
구로구,여,취재(D-5),"0"
구로구,여,종교(D-6),"7"
구로구,여,주재(D-7),"1"
구로구,여,기업투자(D-8),"4"
구로구,여,무역경영(D-9),"2"
구로구,여,교수(E-1),"2"
구로구,여,선원취업(E-10),"0"
구로구,여,회화(E-2),"33"
구로구,여,연구(E-3),"2"
구로구,여,기술지도(E-4),"0"
구로구,여,전문직업(E-5),"0"
구로구,여,예술흥행(E-6),"0"
구로구,여,특정활동(E-7),"51"
구로구,여,비전문취업(E-9),"39"
구로구,여,방문동거(F-1),"1809"
구로구,여,거주(F-2),"879"
구로구,여,동반(F-3),"44"
구로구,여,영주(F-5),"3555"
구로구,여,결혼이민(F-6),"1137"
구로구,여,기타(G-1),"322"
구로구,여,관광취업(H-1),"23"
구로구,여,방문취업(H-2),"5220"
구로구,여,기타,"3"
금천구,남,문화예술(D-1),"0"
금천구,남,구직(D-10),"16"
금천구,남,유학(D-2),"31"
금천구,남,기술연수(D-3),"6"
금천구,남,일반연수(D-4),"27"
금천구,남,취재(D-5),"1"
금천구,남,종교(D-6),"1"
금천구,남,주재(D-7),"7"
금천구,남,기업투자(D-8),"24"
금천구,남,무역경영(D-9),"2"
금천구,남,교수(E-1),"0"
금천구,남,선원취업(E-10),"0"
금천구,남,회화(E-2),"13"
금천구,남,연구(E-3),"7"
금천구,남,기술지도(E-4),"0"
금천구,남,전문직업(E-5),"0"
금천구,남,예술흥행(E-6),"12"
금천구,남,특정활동(E-7),"75"
금천구,남,비전문취업(E-9),"336"
금천구,남,방문동거(F-1),"871"
금천구,남,거주(F-2),"380"
금천구,남,동반(F-3),"27"
금천구,남,영주(F-5),"2061"
금천구,남,결혼이민(F-6),"438"
금천구,남,기타(G-1),"83"
금천구,남,관광취업(H-1),"1"
금천구,남,방문취업(H-2),"5859"
금천구,남,기타,"0"
금천구,여,문화예술(D-1),"0"
금천구,여,구직(D-10),"20"
금천구,여,유학(D-2),"64"
금천구,여,기술연수(D-3),"8"
금천구,여,일반연수(D-4),"24"
금천구,여,취재(D-5),"0"
금천구,여,종교(D-6),"0"
금천구,여,주재(D-7),"0"
금천구,여,기업투자(D-8),"3"
금천구,여,무역경영(D-9),"1"
금천구,여,교수(E-1),"0"
금천구,여,선원취업(E-10),"0"
금천구,여,회화(E-2),"19"
금천구,여,연구(E-3),"0"
금천구,여,기술지도(E-4),"0"
금천구,여,전문직업(E-5),"0"
금천구,여,예술흥행(E-6),"8"
금천구,여,특정활동(E-7),"26"
금천구,여,비전문취업(E-9),"57"
금천구,여,방문동거(F-1),"1141"
금천구,여,거주(F-2),"460"
금천구,여,동반(F-3),"41"
금천구,여,영주(F-5),"2056"
금천구,여,결혼이민(F-6),"769"
금천구,여,기타(G-1),"24"
금천구,여,관광취업(H-1),"7"
금천구,여,방문취업(H-2),"3331"
금천구,여,기타,"0"
노원구,남,문화예술(D-1),"0"
노원구,남,구직(D-10),"18"
노원구,남,유학(D-2),"346"
노원구,남,기술연수(D-3),"0"
노원구,남,일반연수(D-4),"310"
노원구,남,취재(D-5),"0"
노원구,남,종교(D-6),"4"
노원구,남,주재(D-7),"1"
노원구,남,기업투자(D-8),"9"
노원구,남,무역경영(D-9),"1"
노원구,남,교수(E-1),"21"
노원구,남,선원취업(E-10),"0"
노원구,남,회화(E-2),"73"
노원구,남,연구(E-3),"7"
노원구,남,기술지도(E-4),"0"
노원구,남,전문직업(E-5),"0"
노원구,남,예술흥행(E-6),"5"
노원구,남,특정활동(E-7),"55"
노원구,남,비전문취업(E-9),"12"
노원구,남,방문동거(F-1),"90"
노원구,남,거주(F-2),"39"
노원구,남,동반(F-3),"38"
노원구,남,영주(F-5),"190"
노원구,남,결혼이민(F-6),"152"
노원구,남,기타(G-1),"9"
노원구,남,관광취업(H-1),"1"
노원구,남,방문취업(H-2),"129"
노원구,남,기타,"7"
노원구,여,문화예술(D-1),"0"
노원구,여,구직(D-10),"25"
노원구,여,유학(D-2),"371"
노원구,여,기술연수(D-3),"0"
노원구,여,일반연수(D-4),"326"
노원구,여,취재(D-5),"0"
노원구,여,종교(D-6),"5"
노원구,여,주재(D-7),"2"
노원구,여,기업투자(D-8),"0"
노원구,여,무역경영(D-9),"2"
노원구,여,교수(E-1),"11"
노원구,여,선원취업(E-10),"0"
노원구,여,회화(E-2),"75"
노원구,여,연구(E-3),"3"
노원구,여,기술지도(E-4),"0"
노원구,여,전문직업(E-5),"0"
노원구,여,예술흥행(E-6),"1"
노원구,여,특정활동(E-7),"34"
노원구,여,비전문취업(E-9),"7"
노원구,여,방문동거(F-1),"155"
노원구,여,거주(F-2),"64"
노원구,여,동반(F-3),"59"
노원구,여,영주(F-5),"357"
노원구,여,결혼이민(F-6),"533"
노원구,여,기타(G-1),"8"
노원구,여,관광취업(H-1),"9"
노원구,여,방문취업(H-2),"104"
노원구,여,기타,"4"
도봉구,남,문화예술(D-1),"0"
도봉구,남,구직(D-10),"3"
도봉구,남,유학(D-2),"34"
도봉구,남,기술연수(D-3),"0"
도봉구,남,일반연수(D-4),"34"
도봉구,남,취재(D-5),"0"
도봉구,남,종교(D-6),"3"
도봉구,남,주재(D-7),"1"
도봉구,남,기업투자(D-8),"3"
도봉구,남,무역경영(D-9),"1"
도봉구,남,교수(E-1),"1"
도봉구,남,선원취업(E-10),"0"
도봉구,남,회화(E-2),"32"
도봉구,남,연구(E-3),"1"
도봉구,남,기술지도(E-4),"0"
도봉구,남,전문직업(E-5),"0"
도봉구,남,예술흥행(E-6),"0"
도봉구,남,특정활동(E-7),"17"
도봉구,남,비전문취업(E-9),"180"
도봉구,남,방문동거(F-1),"98"
도봉구,남,거주(F-2),"33"
도봉구,남,동반(F-3),"22"
도봉구,남,영주(F-5),"115"
도봉구,남,결혼이민(F-6),"94"
도봉구,남,기타(G-1),"9"
도봉구,남,관광취업(H-1),"0"
도봉구,남,방문취업(H-2),"109"
도봉구,남,기타,"4"
도봉구,여,문화예술(D-1),"0"
도봉구,여,구직(D-10),"6"
도봉구,여,유학(D-2),"129"
도봉구,여,기술연수(D-3),"2"
도봉구,여,일반연수(D-4),"75"
도봉구,여,취재(D-5),"0"
도봉구,여,종교(D-6),"3"
도봉구,여,주재(D-7),"0"
도봉구,여,기업투자(D-8),"0"
도봉구,여,무역경영(D-9),"0"
도봉구,여,교수(E-1),"1"
도봉구,여,선원취업(E-10),"0"
도봉구,여,회화(E-2),"45"
도봉구,여,연구(E-3),"0"
도봉구,여,기술지도(E-4),"0"
도봉구,여,전문직업(E-5),"0"
도봉구,여,예술흥행(E-6),"2"
도봉구,여,특정활동(E-7),"6"
도봉구,여,비전문취업(E-9),"35"
도봉구,여,방문동거(F-1),"154"
도봉구,여,거주(F-2),"57"
도봉구,여,동반(F-3),"18"
도봉구,여,영주(F-5),"204"
도봉구,여,결혼이민(F-6),"431"
도봉구,여,기타(G-1),"11"
도봉구,여,관광취업(H-1),"4"
도봉구,여,방문취업(H-2),"87"
도봉구,여,기타,"4"
동대문구,남,문화예술(D-1),"1"
동대문구,남,구직(D-10),"123"
동대문구,남,유학(D-2),"1595"
동대문구,남,기술연수(D-3),"0"
동대문구,남,일반연수(D-4),"1351"
동대문구,남,취재(D-5),"0"
동대문구,남,종교(D-6),"18"
동대문구,남,주재(D-7),"7"
동대문구,남,기업투자(D-8),"47"
동대문구,남,무역경영(D-9),"32"
동대문구,남,교수(E-1),"63"
동대문구,남,선원취업(E-10),"1"
동대문구,남,회화(E-2),"60"
동대문구,남,연구(E-3),"61"
동대문구,남,기술지도(E-4),"0"
동대문구,남,전문직업(E-5),"0"
동대문구,남,예술흥행(E-6),"6"
동대문구,남,특정활동(E-7),"111"
동대문구,남,비전문취업(E-9),"70"
동대문구,남,방문동거(F-1),"222"
동대문구,남,거주(F-2),"207"
동대문구,남,동반(F-3),"178"
동대문구,남,영주(F-5),"588"
동대문구,남,결혼이민(F-6),"214"
동대문구,남,기타(G-1),"96"
동대문구,남,관광취업(H-1),"9"
동대문구,남,방문취업(H-2),"794"
동대문구,남,기타,"7"
동대문구,여,문화예술(D-1),"0"
동대문구,여,구직(D-10),"224"
동대문구,여,유학(D-2),"4027"
동대문구,여,기술연수(D-3),"2"
동대문구,여,일반연수(D-4),"1936"
동대문구,여,취재(D-5),"0"
